partd_claims_all_2014,Medicare Part D claims (2014),2014,units
IRS_returns,IRS total returns,,units
IRS_single,IRS single returns,,units
IRS_joint,IRS joint returns,,units
IRS_headofhousehold,IRS head of household returns,,units
IRS_paid_prep,IRS returns with paid preparer’s signature,,units
IRS_exemptions,IRS number of exemptions,,units
IRS_dependents,IRS number of dependents,,units
IRS_vol_prep,IRS returns with voluntary preparer,,units
IRS_vita_prep,IRS volunteer income tax assistance (VITA) prepared returns,,units
IRS_tce_prep,IRS tax counseling for the elderly (ICE) prepared returns,,units
IRS_AGI,IRS adjusted gross income (AGI),,$ (thousands)
IRS_all_inc_num,IRS number of returns with total income,,units
IRS_all_inc_amt,IRS amount of total income,,$ (thousands)
IRS_salaries_num,IRS number of returns with salaries and wages in AGI,,units
IRS_salaries_amt,IRS amount of salaries and wages in AGI,,$ (thousands)
IRS_interest_num,IRS number of returns with taxable interest,,units
IRS_interest_amt,IRS amount of taxable interest,,$ (thousands)
IRS_ord_div_num,IRS number of returns with ordinary dividends,,units
IRS_ord_div_amt,IRS amount of ordinary dividends,,$ (thousands)
IRS_qual_div_num,IRS number of returns with qualified dividends,,units
IRS_qual_div_amt,IRS amount of qualified dividends,,$ (thousands)
IRS_state_loc_ref_num,IRS number of returns with state and local income tax refunds,,units
IRS_state_loc_ref_amt,IRS amount of state and local income tax refunds,,$ (thousands)
IRS_bus_num,IRS number of returns with business or profession net income,,units
IRS_bus_amt,IRS amount of business or profession net income,,$ (thousands)
IRS_capgain_num,IRS number of returns with net capital gain,,units
IRS_capgain_amt,IRS amount of net capital gain,,$ (thousands)
IRS_indivret_num,IRS number of returns with taxable individual retirement arrangement distributions,,units
IRS_indivret_amt,IRS amount of taxable individual retirement arrangement distributions,,$ (thousands)
IRS_pension_num,IRS number of returns with pensions and annuities,,units
IRS_pension_amt,IRS amount of pensions and annuities,,$ (thousands)
IRS_farm_num,IRS number of farm returns,,units
IRS_unemp_num,IRS number of returns with unemployment compensation,,units
IRS_unemp_amt,IRS amount of unemployment compensation,,$ (thousands)
IRS_ss_num,IRS number of returns with taxable Social Security benefits,,units
IRS_ss_amt,IRS amount of taxable Social Security benefits,,$ (thousands)
IRS_scorp_num,IRS number of returns with partnership/S-corp net income,,units
IRS_scorp_amt,IRS amount of partnership/S-corp net income,,$ (thousands)
IRS_stat_num,IRS number of returns with total statuory adjustments,,units
IRS_stat_amt,IRS amount of total statuory adjustments,,$ (thousands)
IRS_ed_num,IRS number of returns with educator expenses,,units
IRS_ed_amt,IRS amount of educator expenses,,$ (thousands)
IRS_se_num,IRS number of returns with self-employment retirement plans,,units
IRS_se_amt,IRS amount of self-employment retirement plans,,$ (thousands)
IRS_sehi_num,IRS number of returns with self-employment health insurance deduction,,units
IRS_sehi_amt,IRS amount of self-employment health insurance deduction,,$ (thousands)
IRS_ira_num,IRS number of returns with IRA payments,,units
IRS_ira_amt,IRS amount of IRA payments,,$ (thousands)
IRS_sloan_num,IRS number of returns with student loan interest deduction,,units
IRS_sloan_amt,IRS amount of student loan interest deduction,,$ (thousands)
IRS_tuition_num,IRS number of returns with tuition and fees deduction,,units
IRS_tuition_amt,IRS amount of tuition and fees deduction,,$ (thousands)
IRS_prod_num,IRS number of returns with domestic production activities deduction,,units
IRS_prod_amt,IRS amount of domestic production activities deduction,,$ (thousands)
IRS_item_num,IRS number of returns with total itemized deductions,,units
IRS_item_amt,IRS amount of total itemized deductions,,$ (thousands)
IRS_item_amt_agi,IRS amount of AGI of total itemized deductions,,
IRS_state_loc_num,IRS number of returns with state and local income taxes,,units
IRS_state_loc_amt,IRS amount of state and local income taxes,,$ (thousands)
IRS_sales_num,IRS number of returns with state and local general sales taxes,,units
IRS_sales_amt,IRS amount of state and local general sales taxes,,$ (thousands)
IRS_re_num,IRS number of returns with real estate taxes,,units
IRS_re_amt,IRS amount of real estate taxes,,$ (thousands)
IRS_taxes_num,IRS number of returns with taxes paid,,units
IRS_taxes_amt,IRS amount of taxes paid,,$ (thousands)
IRS_mortgage_num,IRS number of returns with mortgage interest paid,,units
IRS_mortgage_amt,IRS amount of mortgage interest paid,,$ (thousands)
IRS_contr_num,IRS number of returns with contributions,,units
IRS_contr_amt,IRS amount of contributions,,$ (thousands)
IRS_taxable_num,IRS number of returns with taxable income,,units
IRS_taxable_amt,IRS amount of taxable income,,$ (thousands)
IRS_tax_bef_cred_num,IRS number of returns with income tax before credits,,units
IRS_tax_bef_cred_amt,IRS amount of income tax before credits,,$ (thousands)
IRS_amt_num,IRS number of returns with alternative minimum tax,,units
IRS_amt_amt,IRS amount of alternative minimum tax,,$ (thousands)
IRS_exaptc_num,IRS number of returns with excess advance premium tax credit repayment,,units
IRS_exaptc_amt,IRS amount of excess advance premium tax credit repayment,,$ (thousands)
IRS_tax_cred_num,IRS number of returns with total tax credits,,units
IRS_tax_cred_amt,IRS amount of total tax credits,,$ (thousands)
IRS_foreign_num,IRS number of returns with foreign tax credit,,units
IRS_foreign_amt,IRS amount of foreign tax credit,,$ (thousands)
IRS_child_num,IRS number of returns with child and dependent care credit,,units
IRS_child_amt,IRS amount of child and dependent care credit,,$ (thousands)
IRS_ed_cred_num,IRS number of returns with nonrefundable education credit,,units
IRS_ed_cred_amt,IRS amount of nonrefundable education credit,,$ (thousands)
IRS_ret_sav_num,IRS number of returns with retirement savings contribution credit,,units
IRS_ret_sav_amt,IRS amount of retirement savings contribution credit,,$ (thousands)
IRS_ctc_num,IRS number of returns with child tax credit,,units
IRS_ctc_amt,IRS amount of child tax credit,,$ (thousands)
IRS_energy_num,IRS number of returns with residential energy tax credit,,units
IRS_energy_amt,IRS amount of residential energy tax credit,,$ (thousands)
IRS_set_num,IRS number of returns with self-employment tax,,units
IRS_set_amt,IRS amount of self-employment tax,,$ (thousands)
IRS_ptc_num,IRS number of returns with total premium tax credit,,units
IRS_ptc_amt,IRS amount of total premium tax credit,,$ (thousands)
IRS_aptc_num,IRS number of returns with advance premium tax credit,,units
IRS_aptc_amt,IRS amount of advance premium tax credit,,$ (thousands)
IRS_hcir_num,IRS number of returns with health care individual responsibility payment,,units
IRS_hcir_amt,IRS amount of health care individual responsibility payment,,$ (thousands)
IRS_ttp_num,IRS number of returns with total tax payments,,units
IRS_ttp_amt,IRS amount of total tax payments,,$ (thousands)
IRS_eic_num,IRS number of returns with earned income credit,,units
IRS_eic_amt,IRS amount of earned income credit,,$ (thousands)
IRS_exeic_num,IRS number of returns with excess earned income credit,,units
IRS_exeic_amt,IRS amount of excess earned income credit,,$ (thousands)
IRS_actc_num,IRS number of returns with additional child tax credit,,units
IRS_actc_amt,IRS amount of additional child tax credit,,$ (thousands)
IRS_red_num,IRS number of returns with refundable education credit,,units
IRS_red_amt,IRS amount of refundable education credit,,$ (thousands)
IRS_net_ptc_num,IRS number of returns with net premium tax credit,,units
IRS_net_ptc_amt,IRS amount of net premium tax credit,,$ (thousands)
IRS_ic_num,IRS number of returns with income tax,,units
IRS_ic_amt,IRS amount of income tax,,$ (thousands)
IRS_tl_num,IRS number of returns with total tax liability,,units
IRS_tl_amt,IRS amount of total tax liability,,$ (thousands)
IRS_medicare_num,IRS number of returns with additional Medicare tax,,units
IRS_medicare_amt,IRS amount of additional Medicare tax,,$ (thousands)
IRS_net_iit_num,IRS number of returns with net investment income tax,,units
IRS_net_iit_amt,IRS amount of net investment income tax,,$ (thousands)
IRS_due_num,IRS number of returns with tax due at time of filing,,units
IRS_due_amt,IRS amount of tax due at time of filing,,$ (thousands)
IRS_refund_num,IRS number of returns with overpayments refunded,,units
IRS_refund_amt,IRS amount of overpayments refunded,,$ (thousands)
